photo,Genre,sous genre,Espèce,sous espèce,species name,category,M/f/ND(0/1/2)
565,Anopheles,Cellia,gambiae,,Anopheles gambiae,7,0
566,Anopheles,Cellia,gambiae,,Anopheles gambiae,7,0
567,Anopheles,Cellia,gambiae,,Anopheles gambiae,7,0
568,Anopheles,Cellia,gambiae,,Anopheles gambiae,7,1
569,Anopheles,Cellia,gambiae,,Anopheles gambiae,7,1
570,Anopheles,Cellia,gambiae,,Anopheles gambiae,7,1
571,Anopheles,Cellia,gambiae,,Anopheles gambiae,7,1
572,Anopheles,Cellia,gambiae,,Anopheles gambiae,7,1
573,Anopheles,Cellia,gambiae,,Anopheles gambiae,7,1
574,Anopheles,Cellia,gambiae,,Anopheles gambiae,7,1
575,Anopheles,Cellia,gambiae,,Anopheles gambiae,7,1
576,Anopheles,Cellia,gambiae,,Anopheles gambiae,7,1
577,Anopheles,Cellia,gambiae,,Anopheles gambiae,7,1
578,Anopheles,Cellia,gambiae,,Anopheles gambiae,7,1
579,Anopheles,Cellia,gambiae,,Anopheles gambiae,7,1
580,Anopheles,Cellia,gambiae,,Anopheles gambiae,7,1
581,Anopheles,Cellia,gambiae,,Anopheles gambiae,7,1
582,Anopheles,Cellia,gambiae,,Anopheles gambiae,7,1
583,Anopheles,Cellia,gambiae,,Anopheles gambiae,7,1
584,Anopheles,Cellia,gambiae,,Anopheles gambiae,7,1
585,Anopheles,Cellia,gambiae,,Anopheles gambiae,7,1
586,Anopheles,Cellia,gambiae,,Anopheles gambiae,7,1
587,Anopheles,Cellia,gambiae,,Anopheles gambiae,7,1
588,Anopheles,Anopheles,maculipennis,,Anopheles maculipenis,8,1
589,Anopheles,Anopheles,maculipennis,,Anopheles maculipenis,8,1
590,Anopheles,Anopheles,maculipennis,,Anopheles maculipenis,8,1
591,Anopheles,Anopheles,maculipennis,,Anopheles maculipenis,8,1
592,Anopheles,Nyssorhynchus,braziliensis,,Anopheles braziliensis,9,1
593,Anopheles,Nyssorhynchus,braziliensis,,Anopheles braziliensis,9,1
594,Anopheles,Nyssorhynchus,braziliensis,,Anopheles braziliensis,9,1
595,Anopheles,Nyssorhynchus,braziliensis,,Anopheles braziliensis,9,1
596,Glossina,Nemorhina,fuscipes,fuscipes,Glossina fuscipes fuscipes,10,1
597,Glossina,Nemorhina,fuscipes,fuscipes,Glossina fuscipes fuscipes,10,1
598,Glossina,Nemorhina,fuscipes,fuscipes,Glossina fuscipes fuscipes,10,1
599,Glossina,Nemorhina,fuscipes,fuscipes,Glossina fuscipes fuscipes,10,1
600,Glossina,Nemorhina,fuscipes,fuscipes,Glossina fuscipes fuscipes,10,1
601,Glossina,Nemorhina,fuscipes,fuscipes,Glossina fuscipes fuscipes,10,1
602,Glossina,Nemorhina,fuscipes,fuscipes,Glossina fuscipes fuscipes,10,1
603,Glossina,Nemorhina,fuscipes,fuscipes,Glossina fuscipes fuscipes,10,1
604,Glossina,Nemorhina,fuscipes,fuscipes,Glossina fuscipes fuscipes,10,1
605,Glossina,Nemorhina,fuscipes,fuscipes,Glossina fuscipes fuscipes,10,1
606,Glossina,Nemorhina,fuscipes,fuscipes,Glossina fuscipes fuscipes,10,1
607,Glossina,Nemorhina,fuscipes,fuscipes,Glossina fuscipes fuscipes,10,1
608,Glossina,Nemorhina,fuscipes,fuscipes,Glossina fuscipes fuscipes,10,1
609,Glossina,Nemorhina,fuscipes,fuscipes,Glossina fuscipes fuscipes,10,1
610,Glossina,Nemorhina,fuscipes,fuscipes,Glossina fuscipes fuscipes,10,1
611,Glossina,Nemorhina,fuscipes,fuscipes,Glossina fuscipes fuscipes,10,1
612,Glossina,Nemorhina,fuscipes,fuscipes,Glossina fuscipes fuscipes,10,1
613,Glossina,Nemorhina,fuscipes,fuscipes,Glossina fuscipes fuscipes,10,1
614,Glossina,Nemorhina,fuscipes,fuscipes,Glossina fuscipes fuscipes,10,1
615,Glossina,Nemorhina,fuscipes,fuscipes,Glossina fuscipes fuscipes,10,1
616,Glossina,Nemorhina,fuscipes,fuscipes,Glossina fuscipes fuscipes,10,0
617,Glossina,Nemorhina,fuscipes,fuscipes,Glossina fuscipes fuscipes,10,0
618,Glossina,Nemorhina,fuscipes,fuscipes,Glossina fuscipes fuscipes,10,0
619,Glossina,Nemorhina,fuscipes,fuscipes,Glossina fuscipes fuscipes,10,0
620,Glossina,Nemorhina,fuscipes,fuscipes,Glossina fuscipes fuscipes,10,0
621,Glossina,Nemorhina,fuscipes,fuscipes,Glossina fuscipes fuscipes,10,0
622,Glossina,Nemorhina,fuscipes,fuscipes,Glossina fuscipes fuscipes,10,0
623,Glossina,Nemorhina,fuscipes,fuscipes,Glossina fuscipes fuscipes,10,0
624,Glossina,Nemorhina,fuscipes,fuscipes,Glossina fuscipes fuscipes,10,0
625,Glossina,Nemorhina,fuscipes,fuscipes,Glossina fuscipes fuscipes,10,0
626,Glossina,Nemorhina,fuscipes,fuscipes,Glossina fuscipes fuscipes,10,0
627,Glossina,Nemorhina,fuscipes,fuscipes,Glossina fuscipes fuscipes,10,0
628,Glossina,Nemorhina,fuscipes,fuscipes,Glossina fuscipes fuscipes,10,0
629,Glossina,Nemorhina,fuscipes,fuscipes,Glossina fuscipes fuscipes,10,0
630,Glossina,Nemorhina,fuscipes,fuscipes,Glossina fuscipes fuscipes,10,0
631,Glossina,Nemorhina,fuscipes,fuscipes,Glossina fuscipes fuscipes,10,0
632,Glossina,Nemorhina,fuscipes,fuscipes,Glossina fuscipes fuscipes,10,0
633,Glossina,Nemorhina,fuscipes,fuscipes,Glossina fuscipes fuscipes,10,0
634,Glossina,Nemorhina,fuscipes,fuscipes,Glossina fuscipes fuscipes,10,0
635,Glossina,Nemorhina,fuscipes,fuscipes,Glossina fuscipes fuscipes,10,0
636,Glossina,Glossina ,morsitans,morsitans,Glossina morsitans morsitans,11,0
637,Glossina,Glossina ,morsitans,morsitans,Glossina morsitans morsitans,11,0
638,Glossina,Glossina ,morsitans,morsitans,Glossina morsitans morsitans,11,0
639,Glossina,Glossina ,morsitans,morsitans,Glossina morsitans morsitans,11,0
640,Glossina,Glossina ,morsitans,morsitans,Glossina morsitans morsitans,11,0
641,Glossina,Glossina ,morsitans,morsitans,Glossina morsitans morsitans,11,0
642,Glossina,Glossina ,morsitans,morsitans,Glossina morsitans morsitans,11,0
643,Glossina,Glossina ,morsitans,morsitans,Glossina morsitans morsitans,11,0
644,Glossina,Glossina ,morsitans,morsitans,Glossina morsitans morsitans,11,0
645,Glossina,Glossina ,morsitans,morsitans,Glossina morsitans morsitans,11,0
646,Glossina,Glossina ,morsitans,morsitans,Glossina morsitans morsitans,11,0
647,Glossina,Glossina ,morsitans,morsitans,Glossina morsitans morsitans,11,0
648,Glossina,Glossina ,morsitans,morsitans,Glossina morsitans morsitans,11,0
649,Glossina,Glossina ,morsitans,morsitans,Glossina morsitans morsitans,11,0
650,Glossina,Glossina ,morsitans,morsitans,Glossina morsitans morsitans,11,0
651,Glossina,Glossina ,morsitans,morsitans,Glossina morsitans morsitans,11,0
652,Glossina,Glossina ,morsitans,morsitans,Glossina morsitans morsitans,11,0
653,Glossina,Glossina ,morsitans,morsitans,Glossina morsitans morsitans,11,0
654,Glossina,Glossina ,morsitans,morsitans,Glossina morsitans morsitans,11,0
655,Glossina,Glossina ,morsitans,morsitans,Glossina morsitans morsitans,11,0
656,Glossina,Glossina ,morsitans,morsitans,Glossina morsitans morsitans,11,1
657,Glossina,Glossina ,morsitans,morsitans,Glossina morsitans morsitans,11,1
658,Glossina,Glossina ,morsitans,morsitans,Glossina morsitans morsitans,11,1
659,Glossina,Glossina ,morsitans,morsitans,Glossina morsitans morsitans,11,1
660,Glossina,Glossina ,morsitans,morsitans,Glossina morsitans morsitans,11,1
661,Glossina,Glossina ,morsitans,morsitans,Glossina morsitans morsitans,11,1
662,Glossina,Glossina ,morsitans,morsitans,Glossina morsitans morsitans,11,1
663,Glossina,Glossina ,morsitans,morsitans,Glossina morsitans morsitans,11,1
664,Glossina,Glossina ,morsitans,morsitans,Glossina morsitans morsitans,11,1
665,Glossina,Glossina ,morsitans,morsitans,Glossina morsitans morsitans,11,1
666,Glossina,Glossina ,morsitans,morsitans,Glossina morsitans morsitans,11,1
667,Glossina,Glossina ,morsitans,morsitans,Glossina morsitans morsitans,11,1
668,Glossina,Glossina ,morsitans,morsitans,Glossina morsitans morsitans,11,1
669,Glossina,Glossina ,morsitans,morsitans,Glossina morsitans morsitans,11,1
670,Glossina,Glossina ,morsitans,morsitans,Glossina morsitans morsitans,11,1
671,Glossina,Glossina ,morsitans,morsitans,Glossina morsitans morsitans,11,1
672,Glossina,Glossina ,morsitans,morsitans,Glossina morsitans morsitans,11,1
673,Glossina,Glossina ,morsitans,morsitans,Glossina morsitans morsitans,11,1
674,Glossina,Glossina ,morsitans,morsitans,Glossina morsitans morsitans,11,1
675,Glossina,Glossina ,morsitans,morsitans,Glossina morsitans morsitans,11,1
676,Glossina,Nemorhina,palpalis,gambiense,Glossina palpalis gambiense,12,1
677,Glossina,Nemorhina,palpalis,gambiense,Glossina palpalis gambiense,12,1
678,Glossina,Nemorhina,palpalis,gambiense,Glossina palpalis gambiense,12,1
679,Glossina,Nemorhina,palpalis,gambiense,Glossina palpalis gambiense,12,1
680,Glossina,Nemorhina,palpalis,gambiense,Glossina palpalis gambiense,12,1
681,Glossina,Nemorhina,palpalis,gambiense,Glossina palpalis gambiense,12,1
682,Glossina,Nemorhina,palpalis,gambiense,Glossina palpalis gambiense,12,1
683,Glossina,Nemorhina,palpalis,gambiense,Glossina palpalis gambiense,12,1
684,Glossina,Nemorhina,palpalis,gambiense,Glossina palpalis gambiense,12,1
685,Glossina,Nemorhina,palpalis,gambiense,Glossina palpalis gambiense,12,1
686,Glossina,Nemorhina,palpalis,gambiense,Glossina palpalis gambiense,12,1
687,Glossina,Nemorhina,palpalis,gambiense,Glossina palpalis gambiense,12,1
688,Glossina,Nemorhina,palpalis,gambiense,Glossina palpalis gambiense,12,1
689,Glossina,Nemorhina,palpalis,gambiense,Glossina palpalis gambiense,12,1
690,Glossina,Nemorhina,palpalis,gambiense,Glossina palpalis gambiense,12,1
691,Glossina,Nemorhina,palpalis,gambiense,Glossina palpalis gambiense,12,1
692,Glossina,Nemorhina,palpalis,gambiense,Glossina palpalis gambiense,12,1
693,Glossina,Nemorhina,palpalis,gambiense,Glossina palpalis gambiense,12,1
694,Glossina,Nemorhina,palpalis,gambiense,Glossina palpalis gambiense,12,1
695,Glossina,Nemorhina,palpalis,gambiense,Glossina palpalis gambiense,12,1
696,Glossina,Nemorhina,palpalis,gambiense,Glossina palpalis gambiense,12,0
697,Glossina,Nemorhina,palpalis,gambiense,Glossina palpalis gambiense,12,0
698,Glossina,Nemorhina,palpalis,gambiense,Glossina palpalis gambiense,12,0
699,Glossina,Nemorhina,palpalis,gambiense,Glossina palpalis gambiense,12,0
700,Glossina,Nemorhina,palpalis,gambiense,Glossina palpalis gambiense,12,0
701,Glossina,Nemorhina,palpalis,gambiense,Glossina palpalis gambiense,12,0
702,Glossina,Nemorhina,palpalis,gambiense,Glossina palpalis gambiense,12,0
703,Glossina,Nemorhina,palpalis,gambiense,Glossina palpalis gambiense,12,0
704,Glossina,Nemorhina,palpalis,gambiense,Glossina palpalis gambiense,12,0
705,Glossina,Nemorhina,palpalis,gambiense,Glossina palpalis gambiense,12,0
706,Glossina,Nemorhina,palpalis,gambiense,Glossina palpalis gambiense,12,0
707,Glossina,Nemorhina,palpalis,gambiense,Glossina palpalis gambiense,12,0
708,Glossina,Nemorhina,palpalis,gambiense,Glossina palpalis gambiense,12,0
709,Glossina,Nemorhina,palpalis,gambiense,Glossina palpalis gambiense,12,0
710,Glossina,Nemorhina,palpalis,gambiense,Glossina palpalis gambiense,12,0
711,Glossina,Nemorhina,palpalis,gambiense,Glossina palpalis gambiense,12,0
712,Glossina,Nemorhina,palpalis,gambiense,Glossina palpalis gambiense,12,0
713,Glossina,Nemorhina,palpalis,gambiense,Glossina palpalis gambiense,12,0
714,Glossina,Nemorhina,palpalis,gambiense,Glossina palpalis gambiense,12,0
715,Glossina,Nemorhina,palpalis,gambiense,Glossina palpalis gambiense,12,0
716,Glossina,Nemorhina,palpalis,palpalis,Glossina palpalis palpalis,13,0
717,Glossina,Nemorhina,palpalis,palpalis,Glossina palpalis palpalis,13,0
718,Glossina,Nemorhina,palpalis,palpalis,Glossina palpalis palpalis,13,0
719,Glossina,Nemorhina,palpalis,palpalis,Glossina palpalis palpalis,13,0
720,Glossina,Nemorhina,palpalis,palpalis,Glossina palpalis palpalis,13,0
721,Glossina,Nemorhina,palpalis,palpalis,Glossina palpalis palpalis,13,0
722,Glossina,Nemorhina,palpalis,palpalis,Glossina palpalis palpalis,13,0
723,Glossina,Nemorhina,palpalis,palpalis,Glossina palpalis palpalis,13,0
724,Glossina,Nemorhina,palpalis,palpalis,Glossina palpalis palpalis,13,0
725,Glossina,Nemorhina,palpalis,palpalis,Glossina palpalis palpalis,13,0
726,Glossina,Nemorhina,palpalis,palpalis,Glossina palpalis palpalis,13,0
727,Glossina,Nemorhina,palpalis,palpalis,Glossina palpalis palpalis,13,0
728,Glossina,Nemorhina,palpalis,palpalis,Glossina palpalis palpalis,13,0
729,Glossina,Nemorhina,palpalis,palpalis,Glossina palpalis palpalis,13,0
730,Glossina,Nemorhina,palpalis,palpalis,Glossina palpalis palpalis,13,0
731,Glossina,Nemorhina,palpalis,palpalis,Glossina palpalis palpalis,13,0
732,Glossina,Nemorhina,palpalis,palpalis,Glossina palpalis palpalis,13,0
733,Glossina,Nemorhina,palpalis,palpalis,Glossina palpalis palpalis,13,0
734,Glossina,Nemorhina,palpalis,palpalis,Glossina palpalis palpalis,13,0
735,Glossina,Nemorhina,palpalis,palpalis,Glossina palpalis palpalis,13,0
736,Glossina,Nemorhina,palpalis,palpalis,Glossina palpalis palpalis,13,1
737,Glossina,Nemorhina,palpalis,palpalis,Glossina palpalis palpalis,13,1
738,Glossina,Nemorhina,palpalis,palpalis,Glossina palpalis palpalis,13,1
739,Glossina,Nemorhina,palpalis,palpalis,Glossina palpalis palpalis,13,1
740,Glossina,Nemorhina,palpalis,palpalis,Glossina palpalis palpalis,13,1
741,Glossina,Nemorhina,palpalis,palpalis,Glossina palpalis palpalis,13,1
