photo,species name,category,M/f/ND(0/1/2)
189,Aedes albopictus,1,0
193,Aedes albopictus,1,0
197,Aedes albopictus,1,0
201,Aedes albopictus,1,0
205,Aedes albopictus,1,0
209,Aedes albopictus,1,0
213,Aedes albopictus,1,0
217,Aedes albopictus,1,0
221,Aedes albopictus,1,0
225,Aedes albopictus,1,0
229,Aedes albopictus,1,0
233,Aedes albopictus,1,0
237,Aedes albopictus,1,0
241,Aedes albopictus,1,0
245,Aedes albopictus,1,0
249,Aedes albopictus,1,0
253,Aedes albopictus,1,0
257,Aedes albopictus,1,0
261,Aedes albopictus,1,0
265,Aedes albopictus,1,0
269,Aedes albopictus,1,0
273,Aedes albopictus,1,0
277,Aedes albopictus,1,0
281,Aedes albopictus,1,0
285,Aedes albopictus,1,0
289,Aedes albopictus,1,0
293,Aedes albopictus,1,0
297,Aedes albopictus,1,0
301,Aedes albopictus,1,0
305,Aedes albopictus,1,0
309,Aedes aegypti,2,1
313,Aedes aegypti,2,1
317,Aedes aegypti,2,1
321,Aedes aegypti,2,1
325,Aedes aegypti,2,1
329,Aedes aegypti,2,1
333,Aedes aegypti,2,1
337,Aedes aegypti,2,1
341,Aedes aegypti,2,1
345,Aedes aegypti,2,1
349,Aedes aegypti,2,1
353,Aedes aegypti,2,1
357,Aedes aegypti,2,1
361,Aedes aegypti,2,1
365,Aedes aegypti,2,1
369,Aedes aegypti,2,1
373,Aedes aegypti,2,1
377,Aedes aegypti,2,1
381,Aedes aegypti,2,1
385,Aedes aegypti,2,0
389,Culex  quinquefaciatus,3,2
393,Culex  quinquefaciatus,3,2
397,Culex  quinquefaciatus,3,2
401,Culex  quinquefaciatus,3,2
405,Culex  quinquefaciatus,3,2
409,Culex  quinquefaciatus,3,2
413,Culex  quinquefaciatus,3,2
417,Culex  quinquefaciatus,3,2
421,Culex  quinquefaciatus,3,2
425,Culex  quinquefaciatus,3,2
429,Culex  quinquefaciatus,3,2
433,Culex  quinquefaciatus,3,2
437,Culex  quinquefaciatus,3,2
441,Culex  quinquefaciatus,3,2
445,Culex  quinquefaciatus,3,2
449,Culex  quinquefaciatus,3,2
453,Culex  quinquefaciatus,3,2
457,Culex  quinquefaciatus,3,2
461,Culex  quinquefaciatus,3,2
465,Culex  quinquefaciatus,3,2
469,Culex  quinquefaciatus,3,2
473,Culex  quinquefaciatus,3,2
477,Culex  quinquefaciatus,3,2
481,Culex  quinquefaciatus,3,2
485,Culex  quinquefaciatus,3,2
489,Culex  quinquefaciatus,3,2
493,Culex  quinquefaciatus,3,2
497,Culex  quinquefaciatus,3,2
501,Culex  quinquefaciatus,3,2
505,Culex  quinquefaciatus,3,2
509,Culex  quinquefaciatus,3,2
513,Culex  quinquefaciatus,3,2
517,Culex  quinquefaciatus,3,2
521,Culex  quinquefaciatus,3,2
522,Culex pipiens,4,0
523,Culex hortensis,5,0
524,Anopheles coluzzii,6,1
525,Anopheles coluzzii,6,1
526,Anopheles coluzzii,6,1
527,Anopheles coluzzii,6,1
528,Anopheles coluzzii,6,1
529,Anopheles coluzzii,6,1
530,Anopheles coluzzii,6,1
531,Anopheles coluzzii,6,1
532,Anopheles coluzzii,6,1
533,Anopheles coluzzii,6,1
534,Anopheles coluzzii,6,1
535,Anopheles coluzzii,6,1
536,Anopheles coluzzii,6,1
537,Anopheles coluzzii,6,1
538,Anopheles coluzzii,6,1
539,Anopheles coluzzii,6,1
540,Anopheles coluzzii,6,0
541,Anopheles coluzzii,6,0
542,Anopheles coluzzii,6,0
543,Anopheles coluzzii,6,0
544,Anopheles coluzzii,6,0
545,Anopheles coluzzii,6,0
546,Anopheles coluzzii,6,0
547,Anopheles coluzzii,6,0
548,Anopheles gambiae,7,0
549,Anopheles gambiae,7,0
550,Anopheles gambiae,7,0
551,Anopheles gambiae,7,0
552,Anopheles gambiae,7,0
553,Anopheles gambiae,7,0
554,Anopheles gambiae,7,0
555,Anopheles gambiae,7,0
556,Anopheles gambiae,7,0
557,Anopheles gambiae,7,0
558,Anopheles gambiae,7,0
559,Anopheles gambiae,7,0
560,Anopheles gambiae,7,0
561,Anopheles gambiae,7,0
562,Anopheles gambiae,7,0
563,Anopheles gambiae,7,0
564,Anopheles gambiae,7,0
565,Anopheles gambiae,7,0
566,Anopheles gambiae,7,0
567,Anopheles gambiae,7,0
568,Anopheles gambiae,7,1
569,Anopheles gambiae,7,1
570,Anopheles gambiae,7,1
571,Anopheles gambiae,7,1
572,Anopheles gambiae,7,1
573,Anopheles gambiae,7,1
574,Anopheles gambiae,7,1
575,Anopheles gambiae,7,1
576,Anopheles gambiae,7,1
577,Anopheles gambiae,7,1
578,Anopheles gambiae,7,1
579,Anopheles gambiae,7,1
580,Anopheles gambiae,7,1
581,Anopheles gambiae,7,1
582,Anopheles gambiae,7,1
583,Anopheles gambiae,7,1
584,Anopheles gambiae,7,1
585,Anopheles gambiae,7,1
586,Anopheles gambiae,7,1
587,Anopheles gambiae,7,1
588,Anopheles maculipenis,8,1
589,Anopheles maculipenis,8,1
590,Anopheles maculipenis,8,1
591,Anopheles maculipenis,8,1
592,Anopheles braziliensis,9,1
593,Anopheles braziliensis,9,1
594,Anopheles braziliensis,9,1
595,Anopheles braziliensis,9,1
596,Glossina fuscipes fuscipes,10,1
597,Glossina fuscipes fuscipes,10,1
598,Glossina fuscipes fuscipes,10,1
599,Glossina fuscipes fuscipes,10,1
600,Glossina fuscipes fuscipes,10,1
601,Glossina fuscipes fuscipes,10,1
602,Glossina fuscipes fuscipes,10,1
603,Glossina fuscipes fuscipes,10,1
604,Glossina fuscipes fuscipes,10,1
605,Glossina fuscipes fuscipes,10,1
606,Glossina fuscipes fuscipes,10,1
607,Glossina fuscipes fuscipes,10,1
608,Glossina fuscipes fuscipes,10,1
609,Glossina fuscipes fuscipes,10,1
610,Glossina fuscipes fuscipes,10,1
611,Glossina fuscipes fuscipes,10,1
612,Glossina fuscipes fuscipes,10,1
613,Glossina fuscipes fuscipes,10,1
614,Glossina fuscipes fuscipes,10,1
615,Glossina fuscipes fuscipes,10,1
616,Glossina fuscipes fuscipes,10,0
617,Glossina fuscipes fuscipes,10,0
618,Glossina fuscipes fuscipes,10,0
619,Glossina fuscipes fuscipes,10,0
620,Glossina fuscipes fuscipes,10,0
621,Glossina fuscipes fuscipes,10,0
622,Glossina fuscipes fuscipes,10,0
623,Glossina fuscipes fuscipes,10,0
624,Glossina fuscipes fuscipes,10,0
625,Glossina fuscipes fuscipes,10,0
626,Glossina fuscipes fuscipes,10,0
627,Glossina fuscipes fuscipes,10,0
628,Glossina fuscipes fuscipes,10,0
629,Glossina fuscipes fuscipes,10,0
630,Glossina fuscipes fuscipes,10,0
631,Glossina fuscipes fuscipes,10,0
632,Glossina fuscipes fuscipes,10,0
633,Glossina fuscipes fuscipes,10,0
634,Glossina fuscipes fuscipes,10,0
635,Glossina fuscipes fuscipes,10,0
636,Glossina morsitans morsitans,11,0
637,Glossina morsitans morsitans,11,0
638,Glossina morsitans morsitans,11,0
639,Glossina morsitans morsitans,11,0
640,Glossina morsitans morsitans,11,0
641,Glossina morsitans morsitans,11,0
642,Glossina morsitans morsitans,11,0
643,Glossina morsitans morsitans,11,0
644,Glossina morsitans morsitans,11,0
645,Glossina morsitans morsitans,11,0
646,Glossina morsitans morsitans,11,0
647,Glossina morsitans morsitans,11,0
648,Glossina morsitans morsitans,11,0
649,Glossina morsitans morsitans,11,0
650,Glossina morsitans morsitans,11,0
651,Glossina morsitans morsitans,11,0
652,Glossina morsitans morsitans,11,0
653,Glossina morsitans morsitans,11,0
654,Glossina morsitans morsitans,11,0
655,Glossina morsitans morsitans,11,0
656,Glossina morsitans morsitans,11,1
657,Glossina morsitans morsitans,11,1
658,Glossina morsitans morsitans,11,1
659,Glossina morsitans morsitans,11,1
660,Glossina morsitans morsitans,11,1
661,Glossina morsitans morsitans,11,1
662,Glossina morsitans morsitans,11,1
663,Glossina morsitans morsitans,11,1
664,Glossina morsitans morsitans,11,1
665,Glossina morsitans morsitans,11,1
666,Glossina morsitans morsitans,11,1
667,Glossina morsitans morsitans,11,1
668,Glossina morsitans morsitans,11,1
669,Glossina morsitans morsitans,11,1
670,Glossina morsitans morsitans,11,1
671,Glossina morsitans morsitans,11,1
672,Glossina morsitans morsitans,11,1
673,Glossina morsitans morsitans,11,1
674,Glossina morsitans morsitans,11,1
675,Glossina morsitans morsitans,11,1
676,Glossina palpalis gambiense,12,1
677,Glossina palpalis gambiense,12,1
678,Glossina palpalis gambiense,12,1
679,Glossina palpalis gambiense,12,1
680,Glossina palpalis gambiense,12,1
681,Glossina palpalis gambiense,12,1
682,Glossina palpalis gambiense,12,1
683,Glossina palpalis gambiense,12,1
684,Glossina palpalis gambiense,12,1
685,Glossina palpalis gambiense,12,1
686,Glossina palpalis gambiense,12,1
687,Glossina palpalis gambiense,12,1
688,Glossina palpalis gambiense,12,1
689,Glossina palpalis gambiense,12,1
690,Glossina palpalis gambiense,12,1
691,Glossina palpalis gambiense,12,1
692,Glossina palpalis gambiense,12,1
693,Glossina palpalis gambiense,12,1
694,Glossina palpalis gambiense,12,1
695,Glossina palpalis gambiense,12,1
696,Glossina palpalis gambiense,12,0
697,Glossina palpalis gambiense,12,0
698,Glossina palpalis gambiense,12,0
699,Glossina palpalis gambiense,12,0
700,Glossina palpalis gambiense,12,0
701,Glossina palpalis gambiense,12,0
702,Glossina palpalis gambiense,12,0
703,Glossina palpalis gambiense,12,0
704,Glossina palpalis gambiense,12,0
705,Glossina palpalis gambiense,12,0
706,Glossina palpalis gambiense,12,0
707,Glossina palpalis gambiense,12,0
708,Glossina palpalis gambiense,12,0
709,Glossina palpalis gambiense,12,0
710,Glossina palpalis gambiense,12,0
711,Glossina palpalis gambiense,12,0
712,Glossina palpalis gambiense,12,0
713,Glossina palpalis gambiense,12,0
714,Glossina palpalis gambiense,12,0
715,Glossina palpalis gambiense,12,0
716,Glossina palpalis palpalis,13,0
717,Glossina palpalis palpalis,13,0
718,Glossina palpalis palpalis,13,0
719,Glossina palpalis palpalis,13,0
720,Glossina palpalis palpalis,13,0
721,Glossina palpalis palpalis,13,0
722,Glossina palpalis palpalis,13,0
723,Glossina palpalis palpalis,13,0
724,Glossina palpalis palpalis,13,0
725,Glossina palpalis palpalis,13,0
726,Glossina palpalis palpalis,13,0
727,Glossina palpalis palpalis,13,0
728,Glossina palpalis palpalis,13,0
729,Glossina palpalis palpalis,13,0
730,Glossina palpalis palpalis,13,0
731,Glossina palpalis palpalis,13,0
732,Glossina palpalis palpalis,13,0
733,Glossina palpalis palpalis,13,0
734,Glossina palpalis palpalis,13,0
735,Glossina palpalis palpalis,13,0
736,Glossina palpalis palpalis,13,1
737,Glossina palpalis palpalis,13,1
738,Glossina palpalis palpalis,13,1
739,Glossina palpalis palpalis,13,1
740,Glossina palpalis palpalis,13,1
741,Glossina palpalis palpalis,13,1
742,Glossina palpalis palpalis,13,1
743,Glossina palpalis palpalis,13,1
744,Glossina palpalis palpalis,13,1
745,Glossina palpalis palpalis,13,1
746,Glossina palpalis palpalis,13,1
747,Glossina palpalis palpalis,13,1
748,Glossina palpalis palpalis,13,1
749,Glossina palpalis palpalis,13,1
750,Glossina palpalis palpalis,13,1
751,Glossina palpalis palpalis,13,1
752,Glossina palpalis palpalis,13,1
753,Glossina palpalis palpalis,13,1
754,Glossina palpalis palpalis,13,1
755,Glossina palpalis palpalis,13,1
756,Glossina tachinoïdes,14,1
757,Glossina tachinoïdes,14,1
758,Glossina tachinoïdes,14,1
759,Glossina tachinoïdes,14,1
760,Glossina tachinoïdes,14,0
761,Glossina tachinoïdes,14,0
762,Glossina tachinoïdes,14,0
763,Glossina tachinoïdes,14,0
764,Glossina tachinoïdes,14,0
765,Glossina tachinoïdes,14,0
766,Glossina tachinoïdes,14,0
767,Glossina tachinoïdes,14,0
768,Glossina tachinoïdes,14,0
769,Glossina tachinoïdes,14,0
770,Glossina tachinoïdes,14,0
771,Glossina tachinoïdes,14,0
772,Glossina tachinoïdes,14,0
773,Glossina tachinoïdes,14,0
774,Glossina tachinoïdes,14,0
775,Glossina tachinoïdes,14,0
776,Glossina tachinoïdes,14,0
777,Glossina tachinoïdes,14,0
778,Glossina tachinoïdes,14,0
779,Glossina tachinoïdes,14,0
780,Glossina tachinoïdes,14,0
781,Glossina tachinoïdes,14,0
782,Glossina tachinoïdes,14,0
783,Glossina tachinoïdes,14,0
784,Glossina tachinoïdes,14,0
785,Glossina tachinoïdes,14,0
786,Glossina tachinoïdes,14,0
787,Glossina tachinoïdes,14,0
788,Glossina tachinoïdes,14,1
789,Glossina tachinoïdes,14,1
790,Glossina tachinoïdes,14,1
791,Glossina tachinoïdes,14,1
792,Glossina tachinoïdes,14,1
793,Glossina tachinoïdes,14,1
794,Glossina tachinoïdes,14,1
795,Glossina tachinoïdes,14,1
796,Glossina tachinoïdes,14,1
797,Glossina tachinoïdes,14,1
798,Glossina tachinoïdes,14,1
799,Glossina tachinoïdes,14,1
800,Glossina tachinoïdes,14,1
801,Glossina tachinoïdes,14,1
802,Glossina tachinoïdes,14,1
803,Glossina tachinoïdes,14,1
804,Glossina tachinoïdes,14,1
805,Glossina tachinoïdes,14,1
806,Glossina tachinoïdes,14,1
807,Glossina tachinoïdes,14,1
808,Glossina palpalis palpalis,13,0
809,Glossina palpalis palpalis,13,0
810,Glossina palpalis palpalis,13,0
811,Glossina palpalis palpalis,13,0
812,Glossina palpalis palpalis,13,0
813,Glossina palpalis palpalis,13,0
814,Glossina palpalis palpalis,13,0
815,Glossina palpalis palpalis,13,0
816,Glossina palpalis palpalis,13,0
817,Glossina palpalis palpalis,13,0
818,Glossina palpalis palpalis,13,0
819,Glossina palpalis palpalis,13,0
820,Glossina palpalis palpalis,13,0
821,Glossina palpalis palpalis,13,0
822,Glossina palpalis palpalis,13,0
823,Glossina palpalis palpalis,13,0
824,Glossina palpalis palpalis,13,0
825,Glossina palpalis palpalis,13,0
826,Glossina palpalis palpalis,13,0
827,Glossina palpalis palpalis,13,0
828,Glossina palpalis palpalis,13,1
829,Glossina palpalis palpalis,13,1
830,Glossina palpalis palpalis,13,1
831,Glossina palpalis palpalis,13,1
832,Glossina palpalis palpalis,13,1
833,Glossina palpalis palpalis,13,1
834,Glossina palpalis palpalis,13,1
835,Glossina palpalis palpalis,13,1
836,Glossina palpalis palpalis,13,1
837,Glossina palpalis palpalis,13,1
838,Glossina palpalis palpalis,13,1
839,Glossina palpalis palpalis,13,1
840,Glossina palpalis palpalis,13,1
841,Glossina palpalis palpalis,13,1
842,Glossina palpalis palpalis,13,1
843,Glossina palpalis palpalis,13,1
844,Glossina palpalis palpalis,13,1
845,Glossina palpalis palpalis,13,1
846,Glossina palpalis palpalis,13,1
847,Glossina palpalis palpalis,13,1
848,Glossina palpalis gambiense,12,0
849,Glossina palpalis gambiense,12,0
850,Glossina palpalis gambiense,12,0
851,Glossina palpalis gambiense,12,0
852,Glossina palpalis gambiense,12,0
853,Glossina palpalis gambiense,12,0
854,Glossina palpalis gambiense,12,0
855,Glossina palpalis gambiense,12,0
856,Glossina palpalis gambiense,12,0
857,Glossina palpalis gambiense,12,0
858,Glossina palpalis gambiense,12,0
859,Glossina palpalis gambiense,12,0
860,Glossina palpalis gambiense,12,0
861,Glossina palpalis gambiense,12,0
862,Glossina palpalis gambiense,12,0
863,Glossina palpalis gambiense,12,0
864,Glossina palpalis gambiense,12,0
865,Glossina palpalis gambiense,12,0
866,Glossina palpalis gambiense,12,0
867,Glossina palpalis gambiense,12,0
868,Glossina palpalis gambiense,12,1
869,Glossina palpalis gambiense,12,1
870,Glossina palpalis gambiense,12,1
871,Glossina palpalis gambiense,12,1
872,Glossina palpalis gambiense,12,1
873,Glossina palpalis gambiense,12,1
874,Glossina palpalis gambiense,12,1
875,Glossina palpalis gambiense,12,1
876,Glossina palpalis gambiense,12,1
877,Glossina palpalis gambiense,12,1
878,Glossina palpalis gambiense,12,1
879,Glossina palpalis gambiense,12,1
880,Glossina palpalis gambiense,12,1
881,Glossina palpalis gambiense,12,1
882,Glossina palpalis gambiense,12,1
883,Glossina palpalis gambiense,12,1
884,Glossina palpalis gambiense,12,1
885,Glossina palpalis gambiense,12,1
886,Glossina palpalis gambiense,12,1
887,Glossina palpalis gambiense,12,1
888,Glossina morsitans morsitans,11,1
889,Glossina morsitans morsitans,11,1
890,Glossina morsitans morsitans,11,1
891,Glossina morsitans morsitans,11,1
892,Glossina morsitans morsitans,11,1
893,Glossina morsitans morsitans,11,1
894,Glossina morsitans morsitans,11,1
895,Glossina morsitans morsitans,11,1
896,Glossina morsitans morsitans,11,1
897,Glossina morsitans morsitans,11,1
898,Glossina morsitans morsitans,11,1
899,Glossina morsitans morsitans,11,1
900,Glossina morsitans morsitans,11,1
901,Glossina morsitans morsitans,11,1
902,Glossina morsitans morsitans,11,1
903,Glossina morsitans morsitans,11,1
904,Glossina morsitans morsitans,11,1
905,Glossina morsitans morsitans,11,1
906,Glossina morsitans morsitans,11,1
907,Glossina morsitans morsitans,11,1
908,Glossina morsitans morsitans,11,0
909,Glossina morsitans morsitans,11,0
910,Glossina morsitans morsitans,11,0
911,Glossina morsitans morsitans,11,0
912,Glossina morsitans morsitans,11,0
913,Glossina morsitans morsitans,11,0
914,Glossina morsitans morsitans,11,0
915,Glossina morsitans morsitans,11,0
916,Glossina morsitans morsitans,11,0
917,Glossina morsitans morsitans,11,0
918,Glossina morsitans morsitans,11,0
919,Glossina morsitans morsitans,11,0
920,Glossina morsitans morsitans,11,0
921,Glossina morsitans morsitans,11,0
922,Glossina morsitans morsitans,11,0
923,Glossina morsitans morsitans,11,0
924,Glossina morsitans morsitans,11,0
925,Glossina morsitans morsitans,11,0
926,Glossina morsitans morsitans,11,0
927,Glossina morsitans morsitans,11,0
928,Glossina fuscipes quazensis,15,2
929,Glossina fuscipes quazensis,15,2
930,Glossina fuscipes quazensis,15,2
931,Glossina fuscipes quazensis,15,2
932,Glossina fuscipes quazensis,15,2
933,Glossina fuscipes quazensis,15,2
934,Glossina fuscipes quazensis,15,2
935,Glossina fuscipes quazensis,15,2
936,Glossina fuscipes quazensis,15,2
937,Glossina fuscipes quazensis,15,2
938,Glossina fuscipes quazensis,15,2
939,Glossina fuscipes quazensis,15,2
940,Glossina fuscipes quazensis,15,2
941,Glossina fuscipes quazensis,15,2
942,Glossina fuscipes quazensis,15,2
943,Glossina fuscipes quazensis,15,2
944,Glossina fuscipes quazensis,15,2
945,Glossina fuscipes quazensis,15,2
946,Glossina fuscipes quazensis,15,2
947,Glossina fuscipes quazensis,15,2
948,Glossina fuscipes quazensis,15,2
949,Glossina fuscipes quazensis,15,2
950,Glossina fuscipes quazensis,15,2
951,Glossina fuscipes quazensis,15,2
952,Glossina fuscipes quazensis,15,2
953,Glossina fuscipes quazensis,15,2
954,Glossina fuscipes quazensis,15,2
955,Glossina fuscipes quazensis,15,2
956,Glossina fuscipes quazensis,15,2
957,Glossina fuscipes quazensis,15,2
958,Glossina fuscipes quazensis,15,2
959,Glossina fuscipes quazensis,15,2
960,Glossina fuscipes quazensis,15,2
961,Glossina fuscipes quazensis,15,2
962,Glossina fuscipes quazensis,15,2
963,Glossina fuscipes quazensis,15,2
964,Glossina fuscipes quazensis,15,2
965,Glossina fuscipes quazensis,15,2
966,Glossina fuscipes quazensis,15,2
967,Glossina fuscipes quazensis,15,2
968,Glossina fuscipes quazensis,15,2
969,Glossina fuscipes quazensis,15,2
970,Glossina fuscipes quazensis,15,2
971,Glossina fuscipes quazensis,15,2
972,Glossina fuscipes quazensis,15,2
973,Glossina fuscipes quazensis,15,2
974,Glossina fuscipes quazensis,15,2
975,Glossina fuscipes quazensis,15,2
976,Glossina fuscipes quazensis,15,2
977,Glossina fuscipes quazensis,15,2
978,Glossina fuscipes quazensis,15,2
979,Glossina fuscipes quazensis,15,2
980,Glossina fuscipes quazensis,15,2
981,Glossina fuscipes quazensis,15,2
982,Glossina fuscipes quazensis,15,2
983,Glossina fuscipes quazensis,15,2
984,Glossina fuscipes quazensis,15,2
985,Glossina fuscipes quazensis,15,2
986,Glossina fuscipes quazensis,15,2
987,Glossina fuscipes quazensis,15,2
988,Glossina fuscipes quazensis,15,2
989,Glossina fuscipes quazensis,15,2
990,Glossina fuscipes quazensis,15,2
991,Glossina fuscipes quazensis,15,2
992,Glossina fuscipes quazensis,15,2
993,Glossina fuscipes quazensis,15,2
994,Phlebotomus mascittii,16,1
995,Phlebotomus mascittii,16,1
996,Phlebotomus mascittii,16,1
997,Phlebotomus mascittii,16,1
998,Phlebotomus tobbi,17,1
999,Phlebotomus tobbi,17,1
1000,Phlebotomus tobbi,17,1
1001,Phlebotomus tobbi,17,1
1002,Phlebotomus tobbi,17,1
1003,Phlebotomus tobbi,17,1
1004,Phlebotomus tobbi,17,1
1005,Phlebotomus tobbi,17,1
1006,Phlebotomus tobbi,17,1
1007,Phlebotomus tobbi,17,1
1008,Phlebotomus tobbi,17,1
1009,Phlebotomus tobbi,17,1
1010,Phlebotomus tobbi,17,1
1011,Phlebotomus tobbi,17,1
1012,Phlebotomus tobbi,17,1
1013,Phlebotomus tobbi,17,1
1014,Phlebotomus tobbi,17,1
1015,Phlebotomus tobbi,17,1
1016,Phlebotomus tobbi,17,1
1017,Phlebotomus tobbi,17,1
1018,Phlebotomus tobbi,17,0
1019,Phlebotomus tobbi,17,0
1020,Phlebotomus tobbi,17,0
1021,Phlebotomus tobbi,17,0
1022,Phlebotomus tobbi,17,0
1023,Phlebotomus tobbi,17,0
1024,Phlebotomus tobbi,17,0
1025,Phlebotomus tobbi,17,0
1026,Phlebotomus tobbi,17,0
1027,Phlebotomus tobbi,17,0
1028,Phlebotomus tobbi,17,0
1029,Phlebotomus tobbi,17,0
1030,Phlebotomus tobbi,17,0
1031,Phlebotomus tobbi,17,0
1032,Phlebotomus tobbi,17,0
1033,Phlebotomus tobbi,17,0
1034,Phlebotomus tobbi,17,0
1035,Phlebotomus tobbi,17,0
1036,Phlebotomus tobbi,17,0
1037,Phlebotomus tobbi,17,0
1038,Phlebotomus perfiliewi,18,1
1039,Phlebotomus perfiliewi,18,1
1040,Phlebotomus perfiliewi,18,1
1041,Phlebotomus perfiliewi,18,1
1042,Phlebotomus perniciosus,19,1
1043,Phlebotomus perniciosus,19,1
1044,Phlebotomus perniciosus,19,1
1045,Phlebotomus perniciosus,19,1
1046,Phlebotomus perniciosus,19,1
1047,Phlebotomus perniciosus,19,1
1048,Phlebotomus perniciosus,19,1
1049,Phlebotomus perniciosus,19,1
1050,Phlebotomus perniciosus,19,1
1051,Phlebotomus perniciosus,19,1
1052,Phlebotomus perniciosus,19,1
1053,Phlebotomus perniciosus,19,1
1054,Phlebotomus perniciosus,19,1
1055,Phlebotomus perniciosus,19,1
1056,Phlebotomus perniciosus,19,1
1057,Phlebotomus perniciosus,19,1
1058,Phlebotomus perniciosus,19,1
1059,Phlebotomus perniciosus,19,1
1060,Phlebotomus perniciosus,19,0
1061,Phlebotomus perniciosus,19,0
1062,Phlebotomus perniciosus,19,0
1063,Phlebotomus perniciosus,19,0
1064,Phlebotomus perniciosus,19,0
1065,Phlebotomus perniciosus,19,0
1066,Phlebotomus perniciosus,19,0
1067,Phlebotomus perniciosus,19,0
1068,Phlebotomus perniciosus,19,0
1069,Phlebotomus perniciosus,19,0
1070,Phlebotomus perniciosus,19,0
1071,Phlebotomus perniciosus,19,0
1072,Phlebotomus perniciosus,19,0
1073,Phlebotomus perniciosus,19,0
1074,Phlebotomus perniciosus,19,0
1075,Phlebotomus perniciosus,19,0
1076,Phlebotomus perniciosus,19,0
1077,Phlebotomus perniciosus,19,0
1078,Phlebotomus perniciosus,19,0
1079,Phlebotomus perniciosus,19,0
1080,Phlebotomus tobbi,17,1
1081,Phlebotomus tobbi,17,1
1082,Phlebotomus tobbi,17,1
1083,Phlebotomus tobbi,17,1
1084,Phlebotomus argentipes,20,1
1085,Phlebotomus argentipes,20,1
1086,Phlebotomus argentipes,20,1
1087,Phlebotomus argentipes,20,1
1088,Phlebotomus argentipes,20,1
1089,Phlebotomus argentipes,20,1
1090,Phlebotomus argentipes,20,1
1091,Phlebotomus argentipes,20,1
1092,Phlebotomus argentipes,20,1
1093,Phlebotomus argentipes,20,1
1094,Phlebotomus argentipes,20,1
1095,Phlebotomus argentipes,20,1
1096,Phlebotomus argentipes,20,1
1097,Phlebotomus argentipes,20,1
1098,Phlebotomus argentipes,20,1
1099,Phlebotomus argentipes,20,1
1100,Phlebotomus argentipes,20,1
1101,Phlebotomus argentipes,20,1
1102,Phlebotomus argentipes,20,1
1103,Phlebotomus argentipes,20,1
1104,Phlebotomus argentipes,20,1
1105,Phlebotomus argentipes,20,1
1106,Phlebotomus argentipes,20,1
1107,Phlebotomus argentipes,20,1
1108,Phlebotomus argentipes,20,0
1109,Phlebotomus argentipes,20,0
1110,Phlebotomus argentipes,20,0
1111,Phlebotomus argentipes,20,0
1112,Phlebotomus argentipes,20,0
1113,Phlebotomus argentipes,20,0
1114,Phlebotomus argentipes,20,0
1115,Phlebotomus argentipes,20,0
1116,Phlebotomus argentipes,20,0
1117,Phlebotomus argentipes,20,0
1118,Phlebotomus argentipes,20,0
1119,Phlebotomus argentipes,20,0
1120,Phlebotomus argentipes,20,0
1121,Phlebotomus argentipes,20,0
1122,Phlebotomus argentipes,20,0
1123,Phlebotomus argentipes,20,0
1124,Phlebotomus duboscqi,21,0
1125,Phlebotomus duboscqi,21,0
1126,Phlebotomus duboscqi,21,0
1127,Phlebotomus duboscqi,21,0
1128,Phlebotomus duboscqi,21,0
